,date,open,close,high,low,volume
189,2018-05-14,13.1624,12.8388,13.2,12.2,1543293.66
190,2018-05-15,12.8448,12.5389,13.33,12.4638,1284872.56
191,2018-05-16,12.5312,12.2901,12.9199,11.88,1075287.4
192,2018-05-17,12.28,12.3777,12.9496,12.1818,1714166.53
193,2018-05-18,12.3679,15.1363,16.276,12.0001,5632069.63
194,2018-05-19,15.0885,14.33,15.6666,13.95,3387951.86
195,2018-05-20,14.335,14.1666,14.3995,13.682,2411178.47
196,2018-05-21,14.1664,14.6996,14.8005,13.7,2546234.23
197,2018-05-22,14.6728,13.888,14.85,13.6911,2361029.44
198,2018-05-23,13.8544,12.4998,13.9299,12.235,2215424.73
199,2018-05-24,12.4997,13.0288,13.1947,12.1,1576180.03
200,2018-05-25,13.0255,13.0129,13.3789,12.5627,1316638.08
201,2018-05-26,13.0129,12.7888,13.283,12.6411,1215820.52
202,2018-05-27,12.7561,12.6046,12.8,12.2856,1071651.59
203,2018-05-28,12.596,11.9179,12.75,11.611,936828.03
204,2018-05-29,11.892,12.6073,12.7,11.6601,1469580.43
205,2018-05-30,12.5947,12.6199,12.7927,12.17,1299596.87
206,2018-05-31,12.608,14.2,14.302,12.38,2725397.09
207,2018-06-01,14.1919,14.2888,14.467,13.76,2320553.13
208,2018-06-02,14.2503,14.6732,14.882,14.0,2358996.4
209,2018-06-03,14.6785,14.6995,15.0254,14.2657,2237218.88
210,2018-06-04,14.666,14.2636,14.743,13.59,1575290.65
211,2018-06-05,14.2635,15.6156,15.711,14.1328,2607589.16
212,2018-06-06,15.6156,17.275,17.4767,15.23,3866321.8
213,2018-06-07,17.2512,16.2791,17.44,16.11,3248655.04
214,2018-06-08,16.28,16.2292,16.6579,15.72,2536838.57
215,2018-06-09,16.2292,16.0188,16.906,15.869,2334912.18
216,2018-06-10,16.0192,14.18,16.1199,13.4,2579153.65
217,2018-06-11,14.18,15.47,15.48,13.6712,2472371.47
218,2018-06-12,15.47,15.2263,16.16,14.86,3485152.76
219,2018-06-13,15.2265,14.5888,15.85,13.6924,3148409.74
220,2018-06-14,14.5794,14.867,15.2,14.0,2693075.27
221,2018-06-15,14.867,14.9895,15.65,14.602,2572848.48
222,2018-06-16,14.98,15.7602,15.96,14.82,2452263.98
223,2018-06-17,15.7883,16.5987,17.2,15.6951,3238566.8
224,2018-06-18,16.6105,16.8111,17.1998,16.11,2847219.22
225,2018-06-19,16.8092,16.7556,16.95,16.1288,2118005.58
226,2018-06-20,16.7395,16.0773,16.85,15.6,1951387.85
227,2018-06-21,16.0768,17.0727,17.38,15.865,3562967.67
228,2018-06-22,17.0726,15.56,17.25,15.16,3363308.98
229,2018-06-23,15.55,15.6398,16.0488,15.3123,2104033.7
230,2018-06-24,15.6024,14.4174,15.749,13.3419,3864116.26
231,2018-06-25,14.4174,14.92,15.1532,13.76,2268298.4
232,2018-06-26,14.8982,14.0525,15.0098,13.83,1400093.84
233,2018-06-27,14.0525,14.0737,14.3404,13.789,1526745.8
234,2018-06-28,14.0852,14.206,14.9,13.81,2386068.98
235,2018-06-29,14.1312,14.5399,14.7,13.734,1801223.29
236,2018-06-30,14.4847,14.6851,15.1514,14.256,2160868.78
237,2018-07-01,14.7344,14.37,14.7499,14.09,1213411.44
238,2018-07-02,14.3679,14.5968,14.7502,14.01,1895365.94
239,2018-07-03,14.5968,14.1639,14.81,14.0146,1783569.17
240,2018-07-04,14.17,14.0212,14.2499,13.8502,1077456.6
241,2018-07-05,14.0212,13.76,14.1367,13.412,1167466.75
242,2018-07-06,13.76,13.4366,13.8143,13.1402,957584.87
243,2018-07-07,13.4366,14.16,14.3006,13.2799,2509657.78
244,2018-07-08,14.1546,14.01,14.18,13.84,1788649.64
245,2018-07-09,14.0096,13.5348,14.0497,13.4588,1072007.68
246,2018-07-10,13.5382,12.77,13.6312,12.6171,1268037.08
247,2018-07-11,12.77,12.697,12.87,12.1201,1676723.91
248,2018-07-12,12.6899,12.1318,12.7777,11.802,1057562.76
249,2018-07-13,12.1256,12.1803,12.4299,11.904,1104432.47
250,2018-07-14,12.1772,12.0595,12.2799,11.921,700470.95
251,2018-07-15,12.0677,12.321,12.399,11.93,978185.21
252,2018-07-16,12.321,13.3471,13.4295,12.1525,1688449.26
253,2018-07-17,13.3717,13.7398,13.9,12.827,2440273.66
254,2018-07-18,13.7398,12.8574,13.88,12.65,2499594.95
255,2018-07-19,12.8575,12.955,13.3776,12.7161,1659928.44
256,2018-07-20,12.955,12.0798,13.039,11.821,1500770.49
257,2018-07-21,12.0701,12.1959,12.4933,11.8087,962002.15
258,2018-07-22,12.1655,12.1885,12.35,11.9257,717131.0
259,2018-07-23,12.1594,12.0348,12.4,11.9,846080.31
260,2018-07-24,12.0348,12.1469,12.289,11.6358,1470130.39
261,2018-07-25,12.1469,13.0048,13.5136,12.1111,2387075.91
262,2018-07-26,13.0448,13.3283,13.6397,12.9008,2048038.7
